row_number,ground_truth_path,run_id,status,final_validation_passed,iterations_used,llm_calls_total,token_all_tokens,token_input_tokens,token_output_tokens,token_prompt_tokens,token_completion_tokens,duration_seconds,error_message
58,Data\groud_truth\template\efs_file_system.yaml,20260406_165757_f21603d4,ok,False,5,10,223968,0,0,181117,42851,8221.898,
59,Data\groud_truth\template\kinesis-data-stream.yaml,20260406_191459_726c4258,ok,True,3,6,9803,0,0,7968,1835,363.042,
60,Data\groud_truth\template\kms-key.yaml,20260406_192102_5e9db833,ok,True,1,2,2539,0,0,2156,383,71.993,
61,Data\groud_truth\template\route53-hosted-zone-private.yaml,20260406_192214_237304a2,ok,False,5,10,12812,0,0,11444,1368,230.619,
62,Data\groud_truth\template\rds_2db_instance.yaml,20260406_192605_ceb72223,ok,True,4,8,34088,0,0,27104,6984,1109.988,
63,Data\groud_truth\template\rds_psql_export.yaml,20260406_194435_cb6d61a7,ok,True,4,8,45919,0,0,37137,8782,1581.904,
64,Data\groud_truth\template\arch6-lab3.yaml,20260406_201057_cddeb9ef,ok,False,5,10,54753,0,0,45526,9227,1685.124,
65,Data\groud_truth\template\lambda_template.yaml,20260406_203902_443dc689,ok,True,1,2,2616,0,0,2170,446,81.404,
66,Data\groud_truth\template\create_vpc_example.yaml,20260406_204023_c916d108,ok,False,5,10,21588,0,0,18486,3102,577.467,
67,Data\groud_truth\template\cloudwatch-config-s3-bucket.yaml,20260406_205001_e419bace,ok,False,5,10,126650,0,0,110948,15702,2404.115,
68,Data\groud_truth\template\ssm-cloudwatch-instance-role.yaml,20260406_213005_d29d86b2,ok,True,1,2,2668,0,0,2222,446,63.025,
69,Data\groud_truth\template\s3_dynamodb.yaml,20260406_213108_00fb6d70,ok,True,2,4,6547,0,0,4758,1789,231.994,
70,Data\groud_truth\template\base-network.yaml,20260406_213500_eb79cca5,ok,True,1,2,4122,0,0,2358,1764,233.461,
71,Data\groud_truth\template\resource-dependencies-challenge.yaml,20260406_213853_e43b5148,ok,False,5,10,22003,0,0,18781,3222,426.336,
72,Data\groud_truth\template\code-server-stack.yaml,20260406_214600_1a5e5fd5,ok,False,5,10,61047,0,0,51080,9967,2053.98,
73,Data\groud_truth\template\easy-ecs-cluster.yaml,20260406_222014_512abb28,ok,True,1,2,2522,0,0,2162,360,112.807,
74,Data\groud_truth\template\task-def-book.yaml,20260406_222206_ad4f4b3a,ok,True,1,2,3176,0,0,2390,786,163.407,
75,Data\groud_truth\template\CPUStressInstances.yaml,20260406_222450_2045aa18,ok,False,5,10,113068,0,0,97588,15480,3711.947,
76,Data\groud_truth\template\setup-users.yaml,20260406_232642_37ed3a68,ok,True,4,8,64523,0,0,59555,4968,1740.496,
77,Data\groud_truth\template\dynamo-tables.yaml,20260406_235542_76ae4481,ok,False,5,10,32387,0,0,27549,4838,1156.72,
78,Data\groud_truth\template\ipam.yaml,20260407_001459_3eb4dfe4,ok,True,2,4,5231,0,0,4239,992,246.886,
79,Data\groud_truth\template\iam-policies.yaml,20260407_001906_b64fe292,ok,True,2,4,5771,0,0,4611,1160,368.427,
80,Data\groud_truth\template\bedrock-agent-role.yaml,20260407_002514_db028ae6,ok,True,1,2,2823,0,0,2311,512,189.546,
81,Data\groud_truth\template\patch-resource-group.yaml,,runtime_error,,,,,,,,,4965.482,Expecting value: line 1187 column 1 (char 6523)
82,Data\groud_truth\template\alb-notebook-access-logsbucket.yaml,20260407_015109_667e10eb,ok,True,3,6,29684,0,0,24370,5314,1013.953,
83,Data\groud_truth\template\tgw.yaml,20260407_020803_b1eadca6,ok,False,5,10,19015,0,0,16792,2223,364.358,
84,Data\groud_truth\template\macie.yaml,20260407_021408_b422647f,ok,False,5,10,16644,0,0,14507,2137,295.411,
85,Data\groud_truth\template\CloudWatch2S3-bucket.yaml,20260407_021903_70db7310,ok,True,2,4,5512,0,0,4285,1227,176.577,
86,Data\groud_truth\template\guardduty.yaml,20260407_022200_019313e4,ok,True,1,2,2446,0,0,2147,299,52.684,
87,Data\groud_truth\template\essentials.yaml,20260407_022252_7170e8b6,ok,True,1,2,3212,0,0,2299,913,135.767,
88,Data\groud_truth\template\sc-s3-launchrole.yaml,20260407_022508_bc7aca78,ok,False,5,10,37208,0,0,32608,4600,665.198,
89,Data\groud_truth\template\security-hub.yaml,20260407_023613_734f0bc1,ok,True,4,8,9955,0,0,8753,1202,198.475,
90,Data\groud_truth\template\ec2-image-builder.yaml,20260407_023932_33fb4b7f,ok,True,3,6,14314,0,0,11396,2918,353.09,
91,Data\groud_truth\template\bucket_for_vpc.yaml,20260407_024525_7bd50ac5,ok,True,2,4,6158,0,0,4785,1373,168.748,
92,Data\groud_truth\template\BashScriptAssociation.yaml,20260407_024814_bc3e353d,ok,False,5,10,162746,0,0,139396,23350,2797.97,
93,Data\groud_truth\template\BashScriptAssociationTags.yaml,20260407_033452_df944a62,ok,False,5,10,48328,0,0,40697,7631,1123.073,
94,Data\groud_truth\template\BashScriptSSMAutomation.yaml,20260407_035335_aabb55d7,ok,False,5,10,103549,0,0,84865,18684,2905.918,
95,Data\groud_truth\template\BashScriptSSMAutomationTags.yaml,20260407_044201_83456493,ok,False,5,10,45288,0,0,38267,7021,853.922,
96,Data\groud_truth\template\network-stack.yaml,20260407_045615_e40f90be,ok,True,1,2,6114,0,0,2937,3177,478.237,
97,Data\groud_truth\template\organization_data_pipeline.yaml,20260407_050413_0f9d00ce,ok,False,5,10,54612,0,0,45551,9061,926.71,
98,Data\groud_truth\template\web.yaml,20260407_051939_63a206df,ok,False,5,10,28636,0,0,24443,4193,400.367,
99,Data\groud_truth\template\pattern3-base.yaml,20260407_052620_311853fd,ok,False,5,10,46853,0,0,38604,8249,826.278,
100,Data\groud_truth\template\baseline-iam.yaml,,runtime_error,,,,,,,,,1044.128,"Error code: 400 - {'error': {'message': ""This endpoint's maximum context length is 131000 tokens. However, you requested about 132689 tokens (124497 of text input, 8192 in the output). Please reduce the length of either one, or use the context-compression plugin to compress your prompt automatically."", 'code': 400, 'metadata': {'provider_name': None}}}"
101,Data\groud_truth\template\vpc-flow-logs-custom.yaml,20260407_055730_7c85440b,ok,True,4,8,21128,0,0,17259,3869,357.606,
102,Data\groud_truth\template\risk_management.yaml,20260407_060328_298e2f6b,ok,False,5,10,35873,0,0,30313,5560,408.082,
103,Data\groud_truth\template\security-lab-stack.yaml,20260407_061016_52331813,ok,False,5,10,55181,0,0,46554,8627,467.567,
